table_schema,table_name,field_path
crypto_sui_mainnet_us,CHECKPOINT,total_gas_cost
crypto_sui_mainnet_us,CHECKPOINT,computation_cost
crypto_sui_mainnet_us,CHECKPOINT,storage_cost
crypto_sui_mainnet_us,CHECKPOINT,storage_rebate
crypto_sui_mainnet_us,CHECKPOINT,non_refundable_storage_fee
crypto_sui_mainnet_us,CHECKPOINT,total_transaction_blocks
crypto_sui_mainnet_us,CHECKPOINT,total_transactions
crypto_sui_mainnet_us,CHECKPOINT,total_successful_transaction_blocks
crypto_sui_mainnet_us,CHECKPOINT,total_successful_transactions
crypto_sui_mainnet_us,CHECKPOINT,network_total_transaction
crypto_sui_mainnet_us,TRANSACTION,gas_budget
crypto_sui_mainnet_us,TRANSACTION,total_gas_cost
crypto_sui_mainnet_us,TRANSACTION,computation_cost
crypto_sui_mainnet_us,TRANSACTION,storage_cost
crypto_sui_mainnet_us,TRANSACTION,storage_rebate
crypto_sui_mainnet_us,TRANSACTION,non_refundable_storage_fee
crypto_sui_mainnet_us,TRANSACTION,gas_price
crypto_sui_mainnet_us,OBJECT,storage_rebate
crypto_sui_mainnet_us,OBJECT,coin_balance
